RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,Watermetrics,CRC940471.3,CRC940471.3-1,M36/3760-M1,7 day Volume,2756.0 m3,3180.9 m3,15.40%,17/01/2019 0:00,17/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,,CRC190832,CRC190832-1,L36/1232-M1 + L36/1994-M1,Take Rate,50.6 l/s,100.6 l/s,98.70%,17/01/2019 18:15,11/01/2019 5:15,18/01/2019 0:15
19-Jan-2019,,CRC190832,CRC190832-1,L36/1232-M1 + L36/1994-M1,1 day Volume,4185.0 m3,6310.8 m3,50.80%,18/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Watermetrics,CRC182406,CRC182406-2,BY21/0223-M1,Take Rate,48.3 l/s,79.2 l/s,63.90%,11/01/2019 7:15,11/01/2019 0:00,14/01/2019 5:45
19-Jan-2019,WaterCheck,CRC181757,CRC181757-2,BW22/0087-M1 + L35/0864-M1,Take Rate,40.0 l/s,1006.3 l/s,2415.80%,24/10/2018 10:00,24/10/2018 8:44,24/10/2018 10:30
19-Jan-2019,Watermetrics,CRC181515,CRC181515-1,L37/0080-M1,Take Rate,45.0 l/s,398.8 l/s,786.10%,14/01/2019 7:45,11/01/2019 0:00,15/01/2019 9:45
19-Jan-2019,Watermetrics,CRC181515,CRC181515-1,L37/0080-M1,7 day Volume,26082.0 m3,178302.0 m3,583.60%,12/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,WaterCheck,CRC180514,CRC180514-1,J41/0062-M1,Take Rate,19.0 l/s,26.1 l/s,37.40%,10/01/2019 10:45,10/01/2019 9:45,11/01/2019 8:30
19-Jan-2019,Aqualinc,CRC175041,CRC175041-1,L36/1737-M1,Take Rate,16.0 l/s,31.3 l/s,95.30%,11/01/2019 13:32,11/01/2019 0:00,18/01/2019 4:47
19-Jan-2019,Aqualinc,CRC175041,CRC175041-1,L36/1737-M1,1 day Volume,1251.0 m3,2228.0 m3,78.10%,12/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
